initial_alias,converted_alias,name,description
ILMN_1343291,ENSG00000156508,EEF1A1,eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]
ILMN_1343291,ENSG00000196205,EEF1A1P5,eukaryotic translation elongation factor 1 alpha 1 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:3200]
ILMN_1343291,ENSG00000233476,EEF1A1P6,eukaryotic translation elongation factor 1 alpha 1 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:3201]
ILMN_1343295,ENSG00000111640,GAPDH,glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]
ILMN_1651209,ENSG00000215790,SLC35E2A,solute carrier family 35 member E2A [Source:HGNC Symbol;Acc:HGNC:20863]
ILMN_1651210,ENSG00000112679,DUSP22,dual specificity phosphatase 22 [Source:HGNC Symbol;Acc:HGNC:16077]
ILMN_1651221,None,None,None
ILMN_1651228,ENSG00000233927,RPS28,ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:10418]
ILMN_1651229,ENSG00000117408,IPO13,importin 13 [Source:HGNC Symbol;Acc:HGNC:16853]
ILMN_1651235,ENSG00000196526,AFAP1,actin filament associated protein 1 [Source:HGNC Symbol;Acc:HGNC:24017]
ILMN_1651237,ENSG00000167513,CDT1,chromatin licensing and DNA replication factor 1 [Source:HGNC Symbol;Acc:HGNC:24576]
ILMN_1651254,ENSG00000145012,LPP,LIM domain containing preferred translocation partner in lipoma [Source:HGNC Symbol;Acc:HGNC:6679]
ILMN_1651259,ENSG00000169764,UGP2,UDP-glucose pyrophosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:12527]
ILMN_1651262,ENSG00000197451,HNRNPAB,heterogeneous nuclear ribonucleoprotein A/B [Source:HGNC Symbol;Acc:HGNC:5034]
ILMN_1651268,ENSG00000165714,BORCS5,BLOC-1 related complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:17950]
ILMN_1651278,ENSG00000163877,SNIP1,Smad nuclear interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:30587]
ILMN_1651279,None,None,None
ILMN_1651282,ENSG00000065618,COL17A1,collagen type XVII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2194]
ILMN_1651285,ENSG00000161940,BCL6B,BCL6B transcription repressor [Source:HGNC Symbol;Acc:HGNC:1002]
ILMN_1651288,None,None,None
ILMN_1651296,ENSG00000037280,FLT4,fms related tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]
ILMN_1651296,ENSG00000285646,AL021155.5,novel transcript
ILMN_1651315,ENSG00000064961,HMG20B,high mobility group 20B [Source:HGNC Symbol;Acc:HGNC:5002]
ILMN_1651316,ENSG00000110848,CD69,CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]
ILMN_1651328,None,None,None
ILMN_1651330,ENSG00000168418,KCNG4,potassium voltage-gated channel modifier subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:19697]
ILMN_1651336,ENSG00000103150,MLYCD,malonyl-CoA decarboxylase [Source:HGNC Symbol;Acc:HGNC:7150]
ILMN_1651339,ENSG00000111647,UHRF1BP1L,UHRF1 binding protein 1 like [Source:HGNC Symbol;Acc:HGNC:29102]
ILMN_1651341,ENSG00000217950,NOC2LP2,NOC2 like nucleolar associated transcriptional repressor pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:52286]
ILMN_1651343,ENSG00000137809,ITGA11,integrin subunit alpha 11 [Source:HGNC Symbol;Acc:HGNC:6136]
ILMN_1651346,ENSG00000243414,TICAM2,toll like receptor adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:21354]
ILMN_1651346,ENSG00000251201,TMED7-TICAM2,TMED7-TICAM2 readthrough [Source:HGNC Symbol;Acc:HGNC:33945]
ILMN_1651347,ENSG00000179833,SERTAD2,SERTA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30784]
ILMN_1651354,ENSG00000118785,SPP1,secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]
ILMN_1651358,ENSG00000213931,HBE1,hemoglobin subunit epsilon 1 [Source:HGNC Symbol;Acc:HGNC:4830]
ILMN_1651358,ENSG00000239920,AC104389.5,novel transcript
ILMN_1651364,ENSG00000132570,PCBD2,pterin-4 alpha-carbinolamine dehydratase 2 [Source:HGNC Symbol;Acc:HGNC:24474]
ILMN_1651370,ENSG00000143258,USP21,ubiquitin specific peptidase 21 [Source:HGNC Symbol;Acc:HGNC:12620]
ILMN_1651373,ENSG00000187010,RHD,Rh blood group D antigen [Source:HGNC Symbol;Acc:HGNC:10009]
ILMN_1651378,ENSG00000115307,AUP1,AUP1 lipid droplet regulating VLDL assembly factor [Source:HGNC Symbol;Acc:HGNC:891]
ILMN_1651380,None,None,None
ILMN_1651385,ENSG00000116688,MFN2,mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877]
ILMN_1651395,None,None,None
ILMN_1651403,ENSG00000226660,TRBV2,T cell receptor beta variable 2 [Source:HGNC Symbol;Acc:HGNC:12195]
ILMN_1651405,ENSG00000028310,BRD9,bromodomain containing 9 [Source:HGNC Symbol;Acc:HGNC:25818]
ILMN_1651415,ENSG00000099958,DERL3,derlin 3 [Source:HGNC Symbol;Acc:HGNC:14236]
ILMN_1651428,ENSG00000137501,SYTL2,synaptotagmin like 2 [Source:HGNC Symbol;Acc:HGNC:15585]
ILMN_1651429,ENSG00000198832,SELENOM,selenoprotein M [Source:HGNC Symbol;Acc:HGNC:30397]
ILMN_1651433,ENSG00000156136,DCK,deoxycytidine kinase [Source:HGNC Symbol;Acc:HGNC:2704]
ILMN_1651437,ENSG00000168269,FOXI1,forkhead box I1 [Source:HGNC Symbol;Acc:HGNC:3815]
